Gene stable ID	Chromosome/scaffold name	Gene start (bp)
ENSG00000280279	17	64099
ENSG00000224791	2	203764295
ENSG00000213925	2	203772631
ENSG00000152700	5	134601149
ENSG00000165868	10	116671192
ENSG00000260976	1	184999710
ENSG00000224272	2	241808312
ENSG00000280136	17	88641
ENSG00000223953	11	119338942
ENSG00000241003	8	94688228
ENSG00000204099	2	241808825
ENSG00000108349	17	40140318
ENSG00000258987	14	93939497
ENSG00000230201	17	4856757
ENSG00000140474	15	74836118
ENSG00000178573	16	79585843
ENSG00000185245	17	4932277
ENSG00000235718	11	119338942
ENSG00000100628	14	93934166
ENSG00000100156	22	38078134
ENSG00000277214	16	79603572
ENSG00000205710	17	4899418
ENSG00000158555	11	75434640
ENSG00000278058	16	79605802
ENSG00000275040	16	79619469
ENSG00000108556	17	4897771
ENSG00000109171	4	48341529
ENSG00000261082	16	79798050
ENSG00000260876	16	79676048
ENSG00000168350	14	100143957
ENSG00000228024	9	73042745
ENSG00000105245	19	40665905
ENSG00000249415	CHR_HSCHR6_MHC_MANN_CTG1	29268443
ENSG00000258693	14	99977115
ENSG00000227178	CHR_HSCHR6_MHC_MANN_CTG1	29290710
ENSG00000258560	14	100052803
ENSG00000242888	14	99974336
ENSG00000125255	13	103043998
ENSG00000260371	16	69335091
ENSG00000234100	CHR_HSCHR6_MHC_MANN_CTG1	29306699
ENSG00000163599	2	203867771
ENSG00000213380	16	69320140
ENSG00000225927	CHR_HSCHR6_MHC_MANN_CTG1	29329636
ENSG00000142539	19	50415799
ENSG00000206430	CHR_HSCHR6_MHC_QBL_CTG1	31579125
ENSG00000137054	9	37485948
ENSG00000285789	13	103343660
ENSG00000234551	13	103420825
ENSG00000230474	13	103444620
ENSG00000243441	CHR_HSCHR6_MHC_MANN_CTG1	29355241
ENSG00000188316	10	116849499
ENSG00000169122	8	57994509
ENSG00000287734	13	104125930
ENSG00000225823	13	104814327
ENSG00000237258	CHR_HSCHR6_MHC_MANN_CTG1	29425047
ENSG00000107438	10	95237572
ENSG00000228527	10	58304553
ENSG00000269559	4	74156511
ENSG00000226489	3	35871866
ENSG00000213820	20	46099518
ENSG00000261076	10	58325614
ENSG00000232397	CHR_HSCHR6_MHC_MANN_CTG1	29438848
ENSG00000175906	17	43398993
ENSG00000248182	CHR_HSCHR6_MHC_MANN_CTG1	29416825
ENSG00000233481	CHR_HSCHR6_MHC_MANN_CTG1	29396107
ENSG00000116793	1	113696831
ENSG00000224487	CHR_HSCHR6_MHC_MANN_CTG1	29373120
ENSG00000116350	1	29147743
ENSG00000263065	16	15741151
ENSG00000263335	16	15726674
ENSG00000187955	8	120059780
ENSG00000128298	22	38084900
ENSG00000272106	1	1613758
ENSG00000232767	10	116670034
ENSG00000267151	17	43444707
ENSG00000262380	16	15683290
ENSG00000237888	17	43476198
ENSG00000132603	16	69337996
ENSG00000253523	8	58031334
ENSG00000129911	19	1852399
ENSG00000250131	4	177442519
ENSG00000253116	8	58091442
ENSG00000242595	8	58113189
ENSG00000187164	10	116881477
ENSG00000251416	4	177686673
ENSG00000225498	7	90312496
ENSG00000256825	12	133130984
ENSG00000274045	CHR_HSCHR19_4_CTG3_1	54445939
ENSG00000283267	7	90316503
ENSG00000275797	CHR_HSCHR19_4_CTG3_1	54446594
ENSG00000117411	1	43978943
ENSG00000185834	20	55074644
ENSG00000288041	8	58227578
ENSG00000231171	4	177728757
ENSG00000267125	19	1852382
ENSG00000062822	19	50384204
ENSG00000267141	19	1860250
ENSG00000090612	12	133181409
ENSG00000215313	X	16198428
ENSG00000251504	4	177729638
ENSG00000287478	20	55607852
ENSG00000237745	2	107914948
ENSG00000235071	X	16474342
ENSG00000235166	20	55408898
ENSG00000227867	Y	25991241
ENSG00000235325	2	107920763
ENSG00000231716	Y	25994684
ENSG00000271044	15	84940504
ENSG00000234744	Y	26002254
ENSG00000156222	15	84884654
ENSG00000233156	Y	26011435
ENSG00000234888	Y	26055779
ENSG00000284839	7	32427901
ENSG00000139800	13	99962964
ENSG00000140545	15	88898683
ENSG00000154678	7	31751179
ENSG00000279378	16	79675685
ENSG00000275470	CHR_HSCHR19_4_CTG3_1	54452738
ENSG00000261390	16	79715220
ENSG00000272720	22	38090127
ENSG00000236158	3	36169767
ENSG00000154252	2	241776822
ENSG00000276681	CHR_HSCHR19_4_CTG3_1	54456812
ENSG00000115665	2	107986523
ENSG00000232339	CHR_HSCHR6_MHC_MANN_CTG1	32234228
ENSG00000224877	17	81239305
ENSG00000145248	4	48483343
ENSG00000224008	20	55420336
ENSG00000101017	20	46118278
ENSG00000198625	1	204516379
ENSG00000166329	17	57744495
ENSG00000275923	20	55504906
ENSG00000215023	2	241800916
ENSG00000265542	17	57771946
ENSG00000273175	1	244864738
ENSG00000253281	8	58255771
ENSG00000181610	17	57834781
ENSG00000132604	16	69355567
ENSG00000168769	4	105145875
ENSG00000139428	12	109553715
ENSG00000233312	CHR_HSCHR6_MHC_SSTO_CTG1	31974678
ENSG00000276101	17	81251194
ENSG00000279187	17	81262920
ENSG00000258651	14	39103140
ENSG00000157637	17	81244811
ENSG00000259121	14	39090901
ENSG00000258591	14	39108342
ENSG00000272195	1	244969350
ENSG00000286578	8	58269979
ENSG00000230188	9	37490421
ENSG00000223353	1	245123471
ENSG00000219274	16	1329078
ENSG00000100934	14	39031919
ENSG00000203666	1	244969705
ENSG00000116544	1	34865436
ENSG00000085185	X	129981107
ENSG00000215507	Y	26123674
ENSG00000288060	13	99973526
ENSG00000228299	CHR_HSCHR6_MHC_DBB_CTG1	31260956
ENSG00000240777	3	55610603
ENSG00000228125	X	68132868
ENSG00000079482	X	68042344
ENSG00000187672	3	55508311
ENSG00000116984	1	236795292
ENSG00000286006	20	55775176
ENSG00000114698	3	146192335
ENSG00000236697	CHR_HSCHR6_MHC_MANN_CTG1	32230151
ENSG00000251586	4	105171354
ENSG00000271741	1	34981533
ENSG00000175699	14	93987225
ENSG00000235742	10	117023674
ENSG00000283586	2	68921248
ENSG00000251345	4	129133106
ENSG00000273574	CHR_HSCHR19_4_CTG3_1	54469723
ENSG00000248958	4	129135926
ENSG00000284773	1	34974356
ENSG00000229424	7	36750687
ENSG00000241877	4	178286695
ENSG00000265113	16	69240549
ENSG00000250839	4	179069437
ENSG00000168802	16	69118010
ENSG00000250993	4	179389134
ENSG00000183607	2	68945232
ENSG00000165757	10	30012803
ENSG00000163867	1	34986165
ENSG00000188493	19	40740856
ENSG00000099804	19	531760
ENSG00000203363	2	85686053
ENSG00000115523	2	85685175
ENSG00000170667	7	102482445
ENSG00000228328	X	68070520
ENSG00000185168	17	81303771
ENSG00000273466	2	218633256
ENSG00000235728	7	36781008
ENSG00000226858	CHR_HSCHR6_MHC_COX_CTG1	29668984
ENSG00000115556	2	218607855
ENSG00000185332	17	81311270
ENSG00000287431	17	81339183
ENSG00000263154	17	81362272
ENSG00000262223	17	81375144
ENSG00000139116	12	39293228
ENSG00000235507	CHR_HSCHR6_MHC_COX_CTG1	29704757
ENSG00000286559	18	39655645
ENSG00000286140	16	69118010
ENSG00000175886	18	39334872
ENSG00000224153	3	184399790
ENSG00000267374	18	39206917
ENSG00000164181	5	60751791
ENSG00000090534	3	184371935
ENSG00000232450	1	113698884
ENSG00000232577	CHR_HSCHR6_MHC_SSTO_CTG1	31992630
ENSG00000103044	16	69105653
ENSG00000286929	13	105410816
ENSG00000231371	X	116043483
ENSG00000234328	CHR_HSCHR6_MHC_SSTO_CTG1	32001268
ENSG00000234558	X	116106921
ENSG00000274833	17	81387415
ENSG00000262877	17	81388126
ENSG00000180772	X	116170744
ENSG00000239882	CHR_HSCHR6_MHC_SSTO_CTG1	31998290
ENSG00000186298	12	110719680
ENSG00000276023	17	37489891
ENSG00000248989	CHR_HSCHR6_MHC_SSTO_CTG1	32005925
ENSG00000243749	1	34981535
ENSG00000123815	19	40691530
ENSG00000235960	CHR_HSCHR6_MHC_DBB_CTG1	30153514
ENSG00000167487	19	18637025
ENSG00000266074	17	81395475
ENSG00000281708	3	55657206
ENSG00000254460	11	75506937
ENSG00000283458	18	39314240
ENSG00000268320	17	137569
ENSG00000241014	1	34975699
ENSG00000163479	1	156009048
ENSG00000225739	7	36818959
ENSG00000230831	7	36838972
ENSG00000230125	10	30301823
ENSG00000141076	16	69131291
ENSG00000281048	CHR_HSCHR5_2_CTG5	177954877
ENSG00000116641	1	62454298
ENSG00000115758	2	10439968
ENSG00000274681	CHR_HSCHR5_2_CTG5	177974393
ENSG00000281513	CHR_HSCHR5_2_CTG5	177970078
ENSG00000275495	CHR_HSCHR5_2_CTG5	177875522
ENSG00000279692	17	81395609
ENSG00000263271	17	81461013
ENSG00000278200	17	81480523
ENSG00000171311	10	97435909
ENSG00000110921	12	109573255
ENSG00000185133	22	31122731
ENSG00000256223	12	133130575
ENSG00000163882	3	184361718
ENSG00000228965	X	152045314
ENSG00000134215	1	107571161
ENSG00000169241	1	155135344
ENSG00000072401	10	58334979
ENSG00000140365	15	75336020
ENSG00000089737	14	94048287
ENSG00000248921	4	179856853
ENSG00000287083	4	179923773
ENSG00000184009	17	81509971
ENSG00000287775	4	180095527
ENSG00000123146	19	14380501
ENSG00000124260	X	152133310
ENSG00000228454	CHR_HSCHR6_MHC_SSTO_CTG1	32007416
ENSG00000106804	9	120952335
ENSG00000281081	CHR_HSCHR5_2_CTG5	177944158
ENSG00000168077	8	27633868
ENSG00000242520	X	152114599
ENSG00000266560	X	152114994
ENSG00000231370	CHR_HSCHR6_MHC_DBB_CTG1	31602891
ENSG00000236460	7	31941261
ENSG00000225676	22	30182818
ENSG00000261526	19	1874871
ENSG00000267232	19	1875016
ENSG00000224244	17	40687038
ENSG00000128342	22	30240453
ENSG00000220666	6	56431950
ENSG00000167916	17	40697991
ENSG00000268812	22	30246205
ENSG00000232530	22	30239194
ENSG00000164615	5	134738548
ENSG00000228691	CHR_HSCHR6_MHC_APD_CTG1	31924682
ENSG00000286264	11	64241144
ENSG00000116288	1	7954291
ENSG00000204991	16	89818179
ENSG00000054803	20	55997357
ENSG00000182223	4	48490252
ENSG00000286505	15	84913144
ENSG00000270382	6	52657373
ENSG00000182346	13	105465867
ENSG00000173486	11	64241003
ENSG00000124089	20	56248732
ENSG00000174502	1	205913048
ENSG00000253275	8	31497423
ENSG00000253560	8	27697217
ENSG00000279302	8	27701194
ENSG00000235594	20	56267872
ENSG00000122912	10	68477998
ENSG00000161204	3	184186023
ENSG00000223481	CHR_HSCHR6_MHC_DBB_CTG1	32799958
ENSG00000230843	20	56295967
ENSG00000124098	20	56358974
ENSG00000250031	8	58424588
ENSG00000215114	8	58411359
ENSG00000236779	1	204528845
ENSG00000226493	10	68499532
ENSG00000287204	8	31536630
ENSG00000089723	14	94026340
ENSG00000113520	5	132673986
ENSG00000232307	13	105459055
ENSG00000273002	1	155978799
ENSG00000269404	19	50418938
ENSG00000104537	8	123680794
ENSG00000116584	1	155946851
ENSG00000175701	2	110211529
ENSG00000086544	19	40717112
ENSG00000253875	8	27732915
ENSG00000147419	8	27733316
ENSG00000282785	2	110279606
ENSG00000261760	2	110231106
ENSG00000077312	19	40750637
ENSG00000224395	CHR_HSCHR6_MHC_MANN_CTG1	29456712
ENSG00000180662	14	65467807
ENSG00000251025	4	180573464
ENSG00000203485	14	104689606
ENSG00000272308	5	60866457
ENSG00000225925	X	68474710
ENSG00000196403	11	124158421
ENSG00000257135	2	10448689
ENSG00000236883	21	41739373
ENSG00000136141	13	46553168
ENSG00000282304	2	110245591
ENSG00000183421	21	41739369
ENSG00000196517	1	43991500
ENSG00000229028	17	40717235
ENSG00000226365	CHR_HSCHR6_MHC_MANN_CTG1	29464128
ENSG00000230957	CHR_HSCHR6_MHC_MANN_CTG1	29474557
ENSG00000228377	CHR_HSCHR6_MHC_MANN_CTG1	29486298
ENSG00000196083	3	190514051
ENSG00000235014	Y	26198331
ENSG00000204897	17	40748021
ENSG00000225876	Y	26244351
ENSG00000273196	2	85387074
ENSG00000271014	2	85360798
ENSG00000043355	13	99981784
ENSG00000042445	2	85341955
ENSG00000269924	8	47527397
ENSG00000260914	16	69299682
ENSG00000124570	6	2948159
ENSG00000236105	7	127295620
ENSG00000099985	22	30262829
ENSG00000157315	16	69343250
ENSG00000230489	1	107964443
ENSG00000177731	17	18244815
ENSG00000164808	8	47260878
ENSG00000227687	1	205935128
ENSG00000267379	19	14402717
ENSG00000129968	19	1876810
ENSG00000235151	2	241844380
ENSG00000086967	19	50432892
ENSG00000231221	2	108049200
ENSG00000188389	2	241849884
ENSG00000229890	2	108099110
ENSG00000236519	21	44802577
ENSG00000171314	10	97426191
ENSG00000259900	16	69335276
ENSG00000224752	3	14089107
ENSG00000229238	Y	26277923
ENSG00000279699	22	30275215
ENSG00000115380	2	55865967
ENSG00000225328	2	108167125
ENSG00000272617	16	69328644
ENSG00000276858	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54874219
ENSG00000168807	16	69187129
ENSG00000163528	3	14112077
ENSG00000260738	13	99994899
ENSG00000213592	11	57718044
ENSG00000284431	22	40346529
ENSG00000230612	5	132688681
ENSG00000184900	21	44805617
ENSG00000100359	22	40370591
ENSG00000277146	Y	26453982
ENSG00000131437	5	132692628
ENSG00000233843	Y	26400611
ENSG00000188399	Y	26409815
ENSG00000226925	2	102172621
ENSG00000215506	Y	26508213
ENSG00000164024	4	98995659
ENSG00000224240	Y	26549425
ENSG00000115594	2	102064544
ENSG00000225999	13	100027769
ENSG00000236554	13	100062296
ENSG00000274605	13	100053074
ENSG00000229848	17	81514047
ENSG00000238170	CHR_HSCHR6_MHC_SSTO_CTG1	32025384
ENSG00000258429	16	69326913
ENSG00000186765	17	81528396
ENSG00000233160	CHR_HSCHR6_MHC_MANN_CTG1	32364622
ENSG00000232792	1	185071567
ENSG00000223584	7	90631906
ENSG00000273299	7	90403434
ENSG00000121481	1	185045526
ENSG00000204764	5	170861870
ENSG00000286411	7	91030149
ENSG00000231937	X	152138883
ENSG00000105662	19	18683678
ENSG00000132612	16	69311350
ENSG00000074755	17	4004445
ENSG00000206245	CHR_HSCHR6_MHC_MANN_CTG1	32332098
ENSG00000011677	X	152166234
ENSG00000105793	7	90335223
ENSG00000117448	1	45550543
ENSG00000003987	8	17296794
ENSG00000257847	12	94590821
ENSG00000057704	12	94567122
ENSG00000197540	19	544034
ENSG00000185504	17	81539885
ENSG00000228840	CHR_HSCHR6_MHC_MANN_CTG1	29488804
ENSG00000259350	15	88952683
ENSG00000228370	CHR_HSCHR6_MHC_MANN_CTG1	29497042
ENSG00000259489	15	88960070
ENSG00000235196	X	101911529
ENSG00000166432	X	101882288
ENSG00000268518	19	50486810
ENSG00000225426	CHR_HSCHR6_MHC_MANN_CTG1	29528958
ENSG00000109572	4	169612633
ENSG00000113712	5	149492982
ENSG00000280635	CHR_HSCHR5_2_CTG5	177996182
ENSG00000261549	15	88989519
ENSG00000237811	CHR_HSCHR6_MHC_MANN_CTG1	29537242
ENSG00000142530	19	50466785
ENSG00000260275	15	89037977
ENSG00000250496	4	99022311
ENSG00000186393	17	40766238
ENSG00000102034	X	130063955
ENSG00000278462	13	46717423
ENSG00000249883	4	180731164
ENSG00000163600	2	203936763
ENSG00000162676	1	92473043
ENSG00000258437	14	90675118
ENSG00000054267	1	235131634
ENSG00000258716	14	90697333
ENSG00000223441	CHR_HSCHR6_MHC_MANN_CTG1	29552784
ENSG00000260123	15	89041223
ENSG00000259163	14	90642638
ENSG00000268104	X	116436606
ENSG00000258935	14	90567495
ENSG00000165914	14	90524564
ENSG00000114867	3	184314495
ENSG00000269843	19	40831221
ENSG00000171570	19	40778242
ENSG00000216775	6	52664366
ENSG00000155975	8	17246931
ENSG00000259948	15	89201091
ENSG00000140526	15	89087459
ENSG00000258858	14	104690091
ENSG00000130612	19	40890826
ENSG00000235951	2	204065706
ENSG00000234714	2	204090457
ENSG00000204019	X	116461686
ENSG00000237271	2	204219984
ENSG00000236681	2	204306842
ENSG00000257086	11	64246939
ENSG00000273686	CHR_HSCHR15_3_CTG8	44711489
ENSG00000225304	2	204379095
ENSG00000213908	19	41024268
ENSG00000236077	X	116669810
ENSG00000162971	2	199928913
ENSG00000173457	11	64244479
ENSG00000236634	2	204470076
ENSG00000237843	2	204473834
ENSG00000182446	17	81556887
ENSG00000115419	2	190880821
ENSG00000237860	X	116688870
ENSG00000268797	19	40801297
ENSG00000227413	22	40433136
ENSG00000272834	22	40415003
ENSG00000161671	19	50476400
ENSG00000278921	5	112419583
ENSG00000256612	19	40924219
ENSG00000229999	22	40372664
ENSG00000172912	22	40569286
ENSG00000232564	22	40521800
ENSG00000143195	1	166895711
ENSG00000096092	6	52671113
ENSG00000230071	22	40586700
ENSG00000196588	22	40410281
ENSG00000213307	15	78661047
ENSG00000256940	11	64245961
ENSG00000259555	15	78625895
ENSG00000171320	8	27771949
ENSG00000236877	2	108226015
ENSG00000261303	15	78660644
ENSG00000248430	5	112452703
ENSG00000228510	9	128444587
ENSG00000251014	5	112546973
ENSG00000182173	17	75516060
ENSG00000196228	2	108247195
ENSG00000250358	5	112628436
ENSG00000227597	2	108276812
ENSG00000248197	4	181064089
ENSG00000227629	Y	26586642
ENSG00000248770	4	181237358
ENSG00000249460	4	181260442
ENSG00000225356	4	181522666
ENSG00000117971	15	78624111
ENSG00000231514	Y	26626520
ENSG00000227163	1	44087958
ENSG00000226498	1	236819634
ENSG00000237917	Y	26594851
ENSG00000286860	4	181590255
ENSG00000287948	4	181686182
ENSG00000230615	1	44030437
ENSG00000008311	7	122073549
ENSG00000251336	4	181820019
ENSG00000101336	20	32052188
ENSG00000264914	17	57912333
ENSG00000257169	12	96386818
ENSG00000180891	17	57861243
ENSG00000162972	2	199955317
ENSG00000059758	12	96278261
ENSG00000159214	1	43991359
ENSG00000229903	CHR_HSCHR6_MHC_MANN_CTG1	32429909
ENSG00000285677	1	156001953
ENSG00000206232	CHR_HSCHR6_MHC_DBB_CTG1	32822063
ENSG00000224276	1	155991390
ENSG00000157224	7	90383721
ENSG00000284716	1	7998187
ENSG00000224649	21	29182027
ENSG00000284747	1	7991134
ENSG00000276600	1	205976740
ENSG00000116285	1	8004404
ENSG00000065613	10	103967140
ENSG00000131828	X	19343893
ENSG00000235976	X	101989481
ENSG00000226119	X	102006883
ENSG00000178074	2	199911293
ENSG00000234901	X	102008524
ENSG00000230034	CHR_HSCHR6_MHC_DBB_CTG1	32818694
ENSG00000261857	19	40771648
ENSG00000268854	19	50480119
ENSG00000235606	4	151027090
ENSG00000180730	13	26044597
ENSG00000117601	1	173903804
ENSG00000260898	15	72782835
ENSG00000161677	19	50505998
ENSG00000240710	1	204603035
ENSG00000230159	X	116692910
ENSG00000231983	13	26052276
ENSG00000168078	8	27809624
ENSG00000273370	3	190659216
ENSG00000287663	14	90758599
ENSG00000213315	14	90766531
ENSG00000231047	3	190624595
ENSG00000159322	15	72751369
ENSG00000182612	17	81637171
ENSG00000224217	X	116748530
ENSG00000213526	X	116963049
ENSG00000197309	11	124183345
ENSG00000238066	X	117397938
ENSG00000225412	CHR_HSCHR6_MHC_MANN_CTG1	32433363
ENSG00000228153	1	204663872
ENSG00000224314	X	117399452
ENSG00000240219	1	204626775
ENSG00000259699	15	89135547
ENSG00000226416	11	1983237
ENSG00000279587	X	117894632
ENSG00000170382	1	204617170
ENSG00000239426	11	124207183
ENSG00000261407	15	89087078
ENSG00000214026	11	1947278
ENSG00000188037	7	143316111
ENSG00000179085	1	155139891
ENSG00000171446	17	40776808
ENSG00000185527	17	81650459
ENSG00000167578	19	40778216
ENSG00000255425	11	124211707
ENSG00000181214	11	124224732
ENSG00000223940	X	152479577
ENSG00000276316	11	124238420
ENSG00000248476	21	29351634
ENSG00000223452	1	155148544
ENSG00000228817	21	29370497
ENSG00000273017	21	29359002
ENSG00000197849	11	124241095
ENSG00000236236	CHR_HSCHR6_MHC_SSTO_CTG1	32033807
ENSG00000223482	10	87201647
ENSG00000174680	21	29748175
ENSG00000287394	X	152574677
ENSG00000269475	X	152682810
ENSG00000268089	X	152637895
ENSG00000271647	1	44103306
ENSG00000253429	8	94708952
ENSG00000146205	2	241188509
ENSG00000189001	19	35523367
ENSG00000224552	CHR_HSCHR6_MHC_MANN_CTG1	31726403
ENSG00000274837	Y	19932130
ENSG00000227435	CHR_HSCHR6_MHC_DBB_CTG1	32857101
ENSG00000237997	Y	19986575
ENSG00000250474	7	107628553
ENSG00000224212	CHR_HSCHR6_MHC_DBB_CTG1	32823186
ENSG00000273464	21	29657406
ENSG00000172209	7	107470018
ENSG00000234293	21	29496047
ENSG00000184905	X	102125679
ENSG00000204653	19	50511600
ENSG00000172270	19	571277
ENSG00000183476	15	78077808
ENSG00000156273	21	29194071
ENSG00000173908	17	40792196
ENSG00000286794	X	102142588
ENSG00000204071	X	102140476
ENSG00000235852	2	190880797
ENSG00000288558	7	107563971
ENSG00000136425	15	78104606
ENSG00000230686	2	191017954
ENSG00000229023	2	190992639
ENSG00000114127	3	142306607
ENSG00000264488	17	40803744
ENSG00000274684	CHR_HSCHR16_3_CTG1	4463639
ENSG00000272072	7	107192559
ENSG00000074582	2	218658764
ENSG00000167920	17	40819106
ENSG00000255974	19	40843541
ENSG00000075790	7	107579977
ENSG00000115415	2	190908460
ENSG00000278642	17	57955965
ENSG00000268231	19	50555370
ENSG00000186395	17	40818117
ENSG00000241112	5	149545383
ENSG00000226468	7	32456963
ENSG00000230551	5	149494314
ENSG00000131409	19	50516892
ENSG00000226636	7	122159300
ENSG00000238290	1	8026738
ENSG00000251433	4	181905790
ENSG00000248816	4	182697902
ENSG00000230878	CHR_HSCHR6_MHC_MCF_CTG1	33125197
ENSG00000232848	1	8057245
ENSG00000280440	7	90345873
ENSG00000279108	19	40840159
ENSG00000177822	4	181874438
ENSG00000280233	17	57988180
ENSG00000234249	CHR_HSCHR6_MHC_MCF_CTG1	33137211
ENSG00000226254	7	91107374
ENSG00000234418	7	122144405
ENSG00000223969	7	90590619
ENSG00000223372	CHR_HSCHR6_MHC_MCF_CTG1	33145868
ENSG00000136451	17	57971547
ENSG00000197408	19	40991282
ENSG00000185298	17	81666737
ENSG00000277368	13	26222191
ENSG00000233963	13	26094724
ENSG00000251154	7	90469787
ENSG00000215296	15	33235552
ENSG00000127870	13	26132115
ENSG00000221867	X	152698767
ENSG00000240118	CHR_HSCHR6_MHC_DBB_CTG1	32822113
ENSG00000215533	21	29193480
ENSG00000236056	21	29222321
ENSG00000058091	7	90466424
ENSG00000232118	21	29370019
ENSG00000229189	CHR_HSCHR6_MHC_QBL_CTG1	31601313
ENSG00000173678	7	102650325
ENSG00000213023	19	50621307
ENSG00000248266	4	182144852
ENSG00000272636	17	142789
ENSG00000180815	X	19360056
ENSG00000204237	17	81665036
ENSG00000218336	4	182143987
ENSG00000285437	7	102562133
ENSG00000287637	21	37337382
ENSG00000171189	21	29536933
ENSG00000198457	CHR_HSCHR6_MHC_SSTO_CTG1	32030953
ENSG00000266086	17	57989038
ENSG00000250290	8	120635558
ENSG00000272502	8	120812219
ENSG00000264112	17	57989039
ENSG00000248318	8	120761253
ENSG00000248751	22	30285238
ENSG00000108064	10	58385345
ENSG00000279069	17	58006674
ENSG00000239900	22	40346500
ENSG00000172172	8	120380761
ENSG00000260988	15	78141243
ENSG00000136450	17	58000919
ENSG00000273172	17	183824
ENSG00000269858	19	40798996
ENSG00000218089	6	114349483
ENSG00000157540	21	37365573
ENSG00000103740	15	78167468
ENSG00000259446	15	33293568
ENSG00000228624	6	113969701
ENSG00000248445	5	116447547
ENSG00000248694	4	182772565
ENSG00000168874	2	85751344
ENSG00000176853	8	123768439
ENSG00000168255	7	102537918
ENSG00000092421	5	116443616
ENSG00000105677	19	35545600
ENSG00000136856	9	127397138
ENSG00000121486	1	185118101
ENSG00000172167	8	120445400
ENSG00000249853	6	114055586
ENSG00000287077	10	87203717
ENSG00000235034	19	50649445
ENSG00000285257	10	87214136
ENSG00000184923	10	87225448
ENSG00000126870	7	158856558
ENSG00000234706	13	26117548
ENSG00000253330	8	47511034
ENSG00000275800	X	19496378
ENSG00000277424	CHR_HSCHR16_3_CTG1	4476649
ENSG00000254065	8	47592147
ENSG00000235857	Y	56855244
ENSG00000251354	8	47546804
ENSG00000243596	3	146342996
ENSG00000241251	12	43560784
ENSG00000196591	6	113933028
ENSG00000257813	12	43569769
ENSG00000271508	12	43633093
ENSG00000239877	3	118943073
ENSG00000257907	12	43659827
ENSG00000224914	10	87341685
ENSG00000099992	22	30291990
ENSG00000242307	16	13922332
ENSG00000175595	16	13920154
ENSG00000241358	3	146391363
ENSG00000144847	3	118900557
ENSG00000214562	10	87357668
ENSG00000022355	5	161847063
ENSG00000129317	12	43718993
ENSG00000163746	3	146391421
ENSG00000161681	19	50661827
ENSG00000172164	8	120535745
ENSG00000269353	19	40946347
ENSG00000282951	19	40779780
ENSG00000198251	19	40908480
ENSG00000254380	8	85495693
ENSG00000237118	19	40818414
ENSG00000233622	19	40808474
ENSG00000268975	19	40771648
ENSG00000131899	17	18225635
ENSG00000235757	CHR_HSCHR6_MHC_QBL_CTG1	30623124
ENSG00000206488	CHR_HSCHR6_MHC_QBL_CTG1	30616337
ENSG00000166411	15	78131498
ENSG00000229498	2	85815130
ENSG00000220377	6	52687930
ENSG00000198077	19	40875439
ENSG00000262732	16	13930677
ENSG00000105664	19	18782773
ENSG00000271227	6	52688661
ENSG00000196700	20	63956704
ENSG00000135046	9	73151865
ENSG00000280347	7	127359785
ENSG00000234202	1	92749175
ENSG00000229992	1	92647048
ENSG00000224138	7	127350128
ENSG00000223787	1	92580476
ENSG00000228278	9	114329869
ENSG00000223896	1	92755794
ENSG00000048405	7	127346790
ENSG00000144681	3	36380344
ENSG00000225505	1	92732000
ENSG00000067208	1	92508696
ENSG00000280213	20	63953384
ENSG00000108352	17	40177010
ENSG00000198276	20	63939829
ENSG00000253966	5	170896929
ENSG00000166143	15	40815451
ENSG00000253213	5	171251866
ENSG00000220920	6	17953572
ENSG00000188011	2	241869600
ENSG00000105679	19	35533455
ENSG00000150281	16	30896607
ENSG00000267368	7	102637025
ENSG00000229314	9	114323056
ENSG00000230447	16	30904348
ENSG00000268101	19	41050449
ENSG00000205236	7	102582523
ENSG00000271299	19	41073804
ENSG00000226423	2	242025183
ENSG00000267751	19	567210
ENSG00000216921	2	241893985
ENSG00000224346	2	200844240
ENSG00000197838	19	41088451
ENSG00000164597	7	107201555
ENSG00000249167	5	116574482
ENSG00000275079	CHR_HSCHR5_3_CTG1	1460716
ENSG00000232002	2	242047695
ENSG00000105808	7	102573807
ENSG00000280119	2	242001209
ENSG00000239528	5	116562562
ENSG00000260852	16	30919319
ENSG00000136928	9	98288109
ENSG00000287971	2	242037716
ENSG00000233806	2	241881363
ENSG00000226893	CHR_HSCHR6_MHC_COX_CTG1	29879284
ENSG00000261487	16	30948386
ENSG00000268902	X	152708261
ENSG00000226152	CHR_HSCHR6_MHC_COX_CTG1	29878828
ENSG00000229653	CHR_HSCHR6_MHC_COX_CTG1	29990518
ENSG00000175938	16	30949068
ENSG00000105472	19	50723364
ENSG00000237940	2	241970683
ENSG00000216306	12	94834147
ENSG00000258488	15	20516252
ENSG00000236144	19	35540738
ENSG00000263165	17	4163910
ENSG00000066427	14	92044496
ENSG00000277322	15	20531856
ENSG00000278444	CHR_HSCHR19_4_CTG3_1	54472957
ENSG00000099364	16	30923055
ENSG00000258797	15	20545576
ENSG00000185722	17	4163821
ENSG00000187242	17	40861303
ENSG00000226979	6	31572054
ENSG00000181984	15	20562375
ENSG00000197446	19	41114432
ENSG00000258272	12	96422326
ENSG00000123136	19	14408798
ENSG00000286407	7	158957497
ENSG00000258916	15	20593494
ENSG00000258707	15	20626819
ENSG00000270685	15	20639464
ENSG00000278626	15	20642799
